"","Type","Date","Popularity","City","Metro","City2","VenueID","Venue","Capacity","Billing1","Artist1","Artist1ID","Billing2","Artist2","Artist2ID","Billing3","Artist3","Artist3ID","Date1","year"
"1","Concert","2016-11-15",0.030341,"Denver, CO, US","Denver","Denver, CO, US","10459","Bluebird Theater",400,"1","Bad Suns","4409368",NA,NA,NA,NA,NA,NA,2016-11-15,2016
"2","Concert","2016-11-13",0.030309,"Dallas, TX, US","Dallas - Fort Worth","Dallas, TX, US","11334","Granada Theater",1000,"1","Bad Suns","4409368","2","COIN","425861",NA,NA,NA,2016-11-13,2016
"3","Concert","2016-11-12",0.030295,"Houston, TX, US","Houston","Houston, TX, US","3205243","White Oak Music Hall",NA,"1","Bad Suns","4409368",NA,NA,NA,NA,NA,NA,2016-11-12,2016
"4","Concert","2016-11-09",0.030253,"Orlando, FL, US","Orlando","Orlando, FL, US","936","The Social",450,"1","Bad Suns","4409368","2","COIN","425861",NA,NA,NA,2016-11-09,2016
"5","Concert","2016-11-07",0.030209,"Nashville, TN, US","Nashville","Nashville, TN, US","35919","Exit/In",400,"1","Bad Suns","4409368","2","COIN","425861",NA,NA,NA,2016-11-07,2016
"6","Concert","2016-11-05",0.030183,"Washington, DC, US","Washington","Washington, DC, US","10865","Rock & Roll Hotel",400,"1","Bad Suns","4409368","2","COIN","425861",NA,NA,NA,2016-11-05,2016
"7","Concert","2016-11-03",0.030155,"Allston, MA, US","Boston / Cambridge","Allston, MA, US","1167706","Brighton Music Hall",300,"1","Bad Suns","4409368","2","COIN","425861",NA,NA,NA,2016-11-03,2016
"8","Concert","2016-11-01",0.030117,"New York, NY, US","New York","New York, NY, US","28184","Le Poisson Rouge",700,"1","Bad Suns","4409368",NA,NA,NA,NA,NA,NA,2016-11-01,2016
"9","Concert","2016-10-31",0.03011,"Philadelphia, PA, US","Philadelphia","Philadelphia, PA, US","1392958","Union Transfer",1000,"1","Bad Suns","4409368","2","COIN","425861",NA,NA,NA,2016-10-31,2016
"10","Concert","2016-10-29",0.030083,"Detroit, MI, US","Detroit","Detroit, MI, US","2239","The Shelter",226,"1","Bad Suns","4409368","2","COIN","425861",NA,NA,NA,2016-10-29,2016
"11","Concert","2016-10-28",0.030072,"Chicago, IL, US","Chicago","Chicago, IL, US","6540","Double Door",473,"1","Bad Suns","4409368",NA,NA,NA,NA,NA,NA,2016-10-28,2016
"12","Concert","2016-10-28",0.030072,"Chicago, IL, US","Chicago","Chicago, IL, US","6540","Double Door",473,"1","Bad Suns","4409368",NA,NA,NA,NA,NA,NA,2016-10-28,2016
"13","Concert","2016-10-27",0.03006,"Minneapolis, MN, US","Twin Cities","Minneapolis, MN, US","1119","Fine Line Music Cafe",750,"1","Bad Suns","4409368",NA,NA,NA,NA,NA,NA,2016-10-27,2016
"14","Concert","2016-10-27",0.03006,"Minneapolis, MN, US","Twin Cities","Minneapolis, MN, US","1119","Fine Line Music Cafe",750,"1","Bad Suns","4409368",NA,NA,NA,NA,NA,NA,2016-10-27,2016
"15","Concert","2016-10-24",0.030017,"Seattle, WA, US","Seattle","Seattle, WA, US","1163","Neumos Crystal Ball Reading Room",NA,"1","Bad Suns","4409368",NA,NA,NA,NA,NA,NA,2016-10-24,2016
"16","Concert","2016-10-23",0.029998,"Vancouver, BC, Canada","Vancouver","Vancouver, BC, Canada","2305574","The Imperial",NA,"1","Bad Suns","4409368","2","Balance and Composure","2171424",NA,NA,NA,2016-10-23,2016
"17","Concert","2016-10-22",0.029985,"Portland, OR, US","Portland","Portland, OR, US","3388224","The Hawthorne",NA,"1","Bad Suns","4409368",NA,NA,NA,NA,NA,NA,2016-10-22,2016
"18","Concert","2016-10-20",0.029958,"San Francisco, CA, US","SF Bay Area","San Francisco, CA, US","2029634","The Chapel",500,"1","Bad Suns","4409368","2","COIN","425861",NA,NA,NA,2016-10-20,2016
"19","Concert","2016-10-07",0.029763,"Austin, TX, US","Austin","Austin, TX, US","43882","Austin City Limits",NA,"1","Bad Suns","4409368",NA,NA,NA,NA,NA,NA,2016-10-07,2016
"20","Concert","2016-07-16",0.057693,"San Diego, CA, US","San Diego","San Diego, CA, US","36253","Cal Coast Credit Union Open Air Theatre",NA,"1","Halsey","8067338","2","Bad Suns","4409368",NA,NA,NA,2016-07-16,2016
"21","Concert","2016-07-15",0.057551,"Los Angeles, CA, US","Los Angeles","Los Angeles, CA, US","34391","Shrine Expo Hall",5000,"1","Halsey","8067338","2","Bad Suns","4409368",NA,NA,NA,2016-07-15,2016
"22","Concert","2016-07-14",0.05743,"Los Angeles, CA, US","Los Angeles","Los Angeles, CA, US","34391","Shrine Expo Hall",5000,"1","Halsey","8067338","2","Bad Suns","4409368",NA,NA,NA,2016-07-14,2016
"23","Concert","2016-07-12",0.057106,"Phoenix, AZ, US","Phoenix","Phoenix, AZ, US","1149166","Comerica Theatre",5500,"1","Halsey","8067338","2","Bad Suns","4409368",NA,NA,NA,2016-07-12,2016
"24","Concert","2016-07-10",0.056747,"Allen, TX, US","Plano","Allen, TX, US","512941","Allen Event Center",NA,"1","Halsey","8067338","2","Bad Suns","4409368",NA,NA,NA,2016-07-10,2016
"25","Concert","2016-07-09",0.028431,"New Braunfels, TX, US","San Antonio","New Braunfels, TX, US","102860","WhiteWater Amphitheater",NA,"1","Bad Suns","4409368",NA,NA,NA,NA,NA,NA,2016-07-09,2016
"26","Concert","2016-07-08",0.056393,"Houston, TX, US","Houston","Houston, TX, US","3069894","Revention Music Center",2900,"1","Halsey","8067338","2","Bad Suns","4409368",NA,NA,NA,2016-07-08,2016
"27","Concert","2016-07-06",0.056083,"Orlando, FL, US","Orlando","Orlando, FL, US","11017","CFE Arena",5300,"1","Halsey","8067338","2","Bad Suns","4409368",NA,NA,NA,2016-07-06,2016
"28","Concert","2016-07-05",0.028377,"Atlanta, GA, US","Atlanta","Atlanta, GA, US","663261","Vinyl",300,"1","Bad Suns","4409368",NA,NA,NA,NA,NA,NA,2016-07-05,2016
"29","Concert","2016-07-01",0.028352,"El Paso, TX, US","El Paso","El Paso, TX, US","1136776","Lowbrow Palace",NA,"1","Bad Suns","4409368",NA,NA,NA,NA,NA,NA,2016-07-01,2016
"30","Concert","2016-06-30",0.028336,"Tucson, AZ, US","Tucson","Tucson, AZ, US","411","Club Congress",400,"1","Bad Suns","4409368","2","The Grooves","125377",NA,NA,NA,2016-06-30,2016
"31","Concert","2016-04-16",0.095487,"Nashville, TN, US","Nashville","Nashville, TN, US","46367","Alumni Lawn, Vanderbilt University",NA,"1","Porter Robinson","3821916","2","Lil Dicky","7443204","3","Kat Dahlia","6387054",2016-04-16,2016
"32","Concert","2015-12-10",0.025227,"Bakersfield, CA, US","Bakersfield","Bakersfield, CA, US","11544","Fox Theater",NA,"1","Bad Suns","4409368",NA,NA,NA,NA,NA,NA,2015-12-10,2015
"33","Concert","2015-11-15",0.024889,"Chicago, IL, US","Chicago","Chicago, IL, US","503946","The Gap",NA,"1","Bad Suns","4409368",NA,NA,NA,NA,NA,NA,2015-11-15,2015
"34","Concert","2015-10-30",0.140901,"Las Vegas, NV, US","Las Vegas","Las Vegas, NV, US","1228291","Boulevard Pool, The Cosmopolitan of Las Vegas",NA,"1","Bad Suns","4409368","2","The Neighbourhood","636848",NA,NA,NA,2015-10-30,2015
"35","Concert","2015-10-29",0.140812,"Los Angeles, CA, US","Los Angeles","Los Angeles, CA, US","34391","Shrine Expo Hall",5000,"1","The Neighbourhood","636848","2","Bad Suns","4409368",NA,NA,NA,2015-10-29,2015
"36","Concert","2015-10-28",0.140714,"San Diego, CA, US","San Diego","San Diego, CA, US","11976","House of Blues",1100,"1","The Neighbourhood","636848","2","Bad Suns","4409368","3","Hunny","646848",2015-10-28,2015
"37","Concert","2015-10-27",0.140612,"San Diego, CA, US","San Diego","San Diego, CA, US","11976","House of Blues",1100,"1","Bad Suns","4409368","2","The Neighbourhood","636848",NA,NA,NA,2015-10-27,2015
"38","Concert","2015-10-24",0.140327,"Oakland, CA, US","SF Bay Area","Oakland, CA, US","953251","Fox Theater",2800,"1","The Neighbourhood","636848","2","Bad Suns","4409368","3","Hunny","646848",2015-10-24,2015
"39","Concert","2015-10-23",0.14025,"Portland, OR, US","Portland","Portland, OR, US","1228","McMenamin's Crystal Ballroom",1000,"1","The Neighbourhood","636848","2","Bad Suns","4409368",NA,NA,NA,2015-10-23,2015
"40","Concert","2015-10-21",0.140053,"Seattle, WA, US","Seattle","Seattle, WA, US","3154","Showbox SoDo",NA,"1","The Neighbourhood","636848","2","Bad Suns","4409368",NA,NA,NA,2015-10-21,2015
"41","Concert","2015-10-20",0.139934,"Vancouver, BC, Canada","Vancouver","Vancouver, BC, Canada","30021","Commodore Ballroom",990,"1","Bad Suns","4409368","2","The Neighbourhood","636848",NA,NA,NA,2015-10-20,2015
"42","Concert","2015-10-17",0.139653,"Winnipeg, MB, Canada","Winnipeg","Winnipeg, MB, Canada","30206","Garrick Centre",NA,"1","The Neighbourhood","636848","2","Bad Suns","4409368",NA,NA,NA,2015-10-17,2015
"43","Concert","2015-10-16",0.139577,"Minneapolis, MN, US","Twin Cities","Minneapolis, MN, US","28708","First Avenue",1500,"1","Bad Suns","4409368","2","The Neighbourhood","636848",NA,NA,NA,2015-10-16,2015
"44","Concert","2015-10-15",0.14349,"Chicago, IL, US","Chicago","Chicago, IL, US","1284","Riviera Theatre",2500,"1","The Neighbourhood","636848","2","Bad Suns","4409368","3","Hunny","646848",2015-10-15,2015
"45","Concert","2015-10-13",0.139287,"Detroit, MI, US","Detroit","Detroit, MI, US","785","The Fillmore Detroit",2900,"1","Bad Suns","4409368","2","The Neighbourhood","636848",NA,NA,NA,2015-10-13,2015
"46","Concert","2015-10-12",0.139175,"Pittsburgh, PA, US","Pittsburgh","Pittsburgh, PA, US","1152511","Stage AE",5500,"1","Bad Suns","4409368","2","The Neighbourhood","636848",NA,NA,NA,2015-10-12,2015
"47","Concert","2015-10-09",0.138964,"Toronto, ON, Canada","Toronto","Toronto, ON, Canada","30065","Danforth Music Hall",1500,"1","Bad Suns","4409368","2","The Neighbourhood","636848",NA,NA,NA,2015-10-09,2015
"48","Concert","2015-10-08",0.138864,"Montreal, QC, Canada","Montreal","Montreal, QC, Canada","20838","Métropolis",2300,"1","The Neighbourhood","636848","2","Bad Suns","4409368",NA,NA,NA,2015-10-08,2015
"49","Concert","2015-10-06",0.138644,"Philadelphia, PA, US","Philadelphia","Philadelphia, PA, US","1003","Electric Factory",3000,"1","The Neighbourhood","636848","2","Bad Suns","4409368",NA,NA,NA,2015-10-06,2015
"50","Concert","2015-10-05",0.138538,"Boston, MA, US","Boston / Cambridge","Boston, MA, US","50095","House of Blues",2400,"1","The Neighbourhood","636848","2","Bad Suns","4409368","3","Hunny","646848",2015-10-05,2015
"51","Concert","2016-11-07",0.008995,"Buffalo, NY, US","Buffalo","Buffalo, NY, US","2217464","Waiting Room",450,"1","Bob Moses","457177","2","Humble Braggers","7996913","3","Eyes Everywhere","7648109",2016-11-07,2016
"52","Concert","2016-11-04",0.008941,"Hollywood, CA, US","Los Angeles","Hollywood, CA, US","207568","Sound Nightclub",NA,"1","Lee Foss","628222","2","Bob Moses","457177",NA,NA,NA,2016-11-04,2016
"53","Concert","2016-11-03",0.008919,"San Diego, CA, US","San Diego","San Diego, CA, US","3052594","Music Box",NA,"1","Bob Moses","457177",NA,NA,NA,NA,NA,NA,2016-11-03,2016
"54","Concert","2016-11-03",0.008919,"San Diego, CA, US","San Diego","San Diego, CA, US","3052594","Music Box",NA,"1","Bob Moses","457177","2","Harrison Brome","8896264",NA,NA,NA,2016-11-03,2016
"55","Concert","2016-11-02",0.008903,"Phoenix, AZ, US","Phoenix","Phoenix, AZ, US","1417923","The Crescent Ballroom",NA,"1","Bob Moses","457177","2","Harrison Brome","8896264","3","Michael Hooker","2159428",2016-11-02,2016
"56","Concert","2016-10-28",0.01274,"Miami, FL, US","Miami","Miami, FL, US","1705633","Hangar 305",NA,"1","Bob Moses","457177","2","Jacques Greene","3542441",NA,NA,NA,2016-10-28,2016
"57","Concert","2016-10-27",0.012739,"Orlando, FL, US","Orlando","Orlando, FL, US","936","The Social",450,"1","Bob Moses","457177","2","Jacques Greene","3542441",NA,NA,NA,2016-10-27,2016
"58","Concert","2016-10-26",0.012744,"Atlanta, GA, US","Atlanta","Atlanta, GA, US","1315546","Terminal West",600,"1","Bob Moses","457177","2","Jacques Greene","3542441","3","Tocayo","466157",2016-10-26,2016
"59","Concert","2016-10-23",0.008738,"Nashville, TN, US","Nashville","Nashville, TN, US","35919","Exit/In",400,"1","Bob Moses","457177","2","No Regular Play","3435556","3","Harrison Brome","8896264",2016-10-23,2016
"60","Concert","2016-10-21",0.008704,"Philadelphia, PA, US","Philadelphia","Philadelphia, PA, US","1392958","Union Transfer",1000,"1","Bob Moses","457177","2","No Regular Play","3435556","3","Harrison Brome","8896264",2016-10-21,2016
"61","Concert","2016-10-20",0.00868,"Boston, MA, US","Boston / Cambridge","Boston, MA, US","29521","Paradise Rock Club",800,"1","Bob Moses","457177","2","No Regular Play","3435556","3","Harrison Brome","8896264",2016-10-20,2016
"62","Concert","2016-10-16",0.008595,"Montreal, QC, Canada","Montreal","Montreal, QC, Canada","624766","L'Astral",NA,"1","Bob Moses","457177","2","Harrison Brome","8896264",NA,NA,NA,2016-10-16,2016
"63","Concert","2016-10-15",0.008576,"Toronto, ON, Canada","Toronto","Toronto, ON, Canada","30065","Danforth Music Hall",1500,"1","Bob Moses","457177","2","Harrison Brome","8896264",NA,NA,NA,2016-10-15,2016
"64","Concert","2016-10-14",0.110225,"Los Angeles, CA, US","Los Angeles","Los Angeles, CA, US","7211","Hollywood Bowl",17376,"1","Kygo","7738429","2","Bob Moses","457177",NA,NA,NA,2016-10-14,2016
"65","Concert","2016-10-13",0.008532,"Chicago, IL, US","Chicago","Chicago, IL, US","2375994","Concord Music Hall",1600,"1","Bob Moses","457177","2","Harrison Brome","8896264","3","Bisharat","2116889",2016-10-13,2016
"66","Concert","2016-10-06",0.008396,"Dallas, TX, US","Dallas - Fort Worth","Dallas, TX, US","43481","Trees",NA,"1","Bob Moses","457177","2","Weval","7669349","3","Harrison Brome","8896264",2016-10-06,2016
"67","Concert","2016-09-30",0.008298,"New York, NY, US","New York","New York, NY, US","3199","Terminal 5",3000,"1","Bob Moses","457177","2","Weval","7669349","3","No Regular Play","3435556",2016-09-30,2016
"68","Concert","2016-09-29",0.008276,"Washington, DC, US","Washington","Washington, DC, US","922","9:30 Club",1200,"1","Bob Moses","457177","2","No Regular Play","3435556","3","Weval","7669349",2016-09-29,2016
"69","Concert","2016-09-03",0.007831,"Vancouver, BC, Canada","Vancouver","Vancouver, BC, Canada","30021","Commodore Ballroom",990,"1","Bob Moses","457177",NA,NA,NA,NA,NA,NA,2016-09-03,2016
"70","Concert","2016-07-31",0.233458,"Fontana, CA, US","Los Angeles","Fontana, CA, US","57641","Auto Club Speedway",NA,"1","Major Lazer","2393089","2","Dillon Francis","3215901","3","Porter Robinson","3821916",2016-07-31,2016
"71","Concert","2016-07-28",0.007274,"Chicago, IL, US","Chicago","Chicago, IL, US","1353776","Spybar",NA,"1","Bob Moses","457177",NA,NA,NA,NA,NA,NA,2016-07-28,2016
"72","Concert","2016-07-22",0.007202,"Edmonton, AB, Canada","Edmonton","Edmonton, AB, Canada","30294","Starlite Room",500,"1","Bob Moses","457177",NA,NA,NA,NA,NA,NA,2016-07-22,2016
"73","Concert","2016-07-14",0.00709,"London, UK","London","London, UK","32390","Rough Trade East",200,"1","Bob Moses","457177",NA,NA,NA,NA,NA,NA,2016-07-14,2016
"74","Concert","2016-06-17",0.006727,"Marseille, France","Marseille","Marseille, France","1313246","Théâtre Silvain",NA,"1","Camp Claude","8159333","2","Bob Moses","457177",NA,NA,NA,2016-06-17,2016
"75","Concert","2016-06-08",0.326925,"Cleveland, OH, US","Cleveland","Cleveland, OH, US","4936","House of Blues",1200,"1","M83","525418","2","Bob Moses","457177",NA,NA,NA,2016-06-08,2016
"76","Concert","2016-06-07",0.326911,"Cincinnati, OH, US","Cincinnati","Cincinnati, OH, US","883","Bogart's Cincinnati",1500,"1","M83","525418","2","Bob Moses","457177",NA,NA,NA,2016-06-07,2016
"77","Concert","2016-06-06",0.326865,"Pittsburgh, PA, US","Pittsburgh","Pittsburgh, PA, US","1152511","Stage AE",5500,"1","M83","525418","2","Bob Moses","457177",NA,NA,NA,2016-06-06,2016
"78","Concert","2016-06-02",0.006528,"Brooklyn, NY, US","New York","Brooklyn, NY, US","2139279","Output",NA,"1","Bob Moses","457177","2","Patrick Topping","7296559",NA,NA,NA,2016-06-02,2016
"79","Concert","2016-05-31",0.3268,"Morrison, CO, US","Denver","Morrison, CO, US","591","Red Rocks Amphitheatre",9450,"1","M83","525418","2","Bob Moses","457177",NA,NA,NA,2016-05-31,2016
"80","Concert","2016-05-30",0.326787,"Magna, UT, US","Salt Lake City","Magna, UT, US","15329","The Great Saltair",NA,"1","M83","525418","2","Bob Moses","457177",NA,NA,NA,2016-05-30,2016
"81","Concert","2016-05-26",0.006431,"San Francisco, CA, US","SF Bay Area","San Francisco, CA, US","329","Mezzanine",1000,"1","Bob Moses","457177",NA,NA,NA,NA,NA,NA,2016-05-26,2016
"82","Concert","2016-05-25",0.006415,"San Francisco, CA, US","SF Bay Area","San Francisco, CA, US","329","Mezzanine",1000,"1","Bob Moses","457177","2","Aaron Axelson","2478726",NA,NA,NA,2016-05-25,2016
"83","Concert","2016-05-21",0.006354,"Santa Barbara, CA, US","Los Angeles","Santa Barbara, CA, US","3295969","RedEye5 Block Party",NA,"1","Bob Moses","457177","2","Lee Burridge","63864",NA,NA,NA,2016-05-21,2016
"84","Concert","2016-11-08",0.036987,"Denver, CO, US","Denver","Denver, CO, US","537","Ogden Theatre",1600,"1","Courtney Barnett","3909026",NA,NA,NA,NA,NA,NA,2016-11-08,2016
"85","Concert","2016-07-13",0.033871,"London, UK","London","London, UK","18521","Somerset House",1500,"1","Courtney Barnett","3909026","2","Bill Ryder-Jones","7053634",NA,NA,NA,2016-07-13,2016
"86","Concert","2016-07-10",0.123451,"Aix Les Bains, France","Chambéry","Aix Les Bains, France","379541","Esplanade Du Lac",NA,"1","Louise Attaque","560169","2","Boys Noize","118721","3","Courtney Barnett","3909026",2016-07-10,2016
"87","Concert","2016-07-08",0.350634,"Aix Les Bains, France","Chambéry","Aix Les Bains, France","379541","Esplanade Du Lac",NA,"1","Synapson","6258389","2","15ème édition","8072933","3","Tee","305423",2016-07-08,2016
"88","Concert","2016-07-05",0.033616,"Amsterdam, Netherlands","Amsterdam","Amsterdam, Netherlands","558871","Paradiso Grote Zaal",1500,"1","Courtney Barnett","3909026",NA,NA,NA,NA,NA,NA,2016-07-05,2016
"89","Concert","2016-05-31",0.032647,"Detroit, MI, US","Detroit","Detroit, MI, US","955","Majestic Theatre",1000,"1","Courtney Barnett","3909026",NA,NA,NA,NA,NA,NA,2016-05-31,2016
"90","Concert","2016-05-30",0.032622,"Toronto, ON, Canada","Toronto","Toronto, ON, Canada","30065","Danforth Music Hall",1500,"1","Courtney Barnett","3909026",NA,NA,NA,NA,NA,NA,2016-05-30,2016
"91","Concert","2016-05-29",0.032596,"Montreal, QC, Canada","Montreal","Montreal, QC, Canada","281966","Théâtre Corona Virgin Mobile",NA,"1","Courtney Barnett","3909026",NA,NA,NA,NA,NA,NA,2016-05-29,2016
"92","Concert","2016-05-26",0.032507,"Philadelphia, PA, US","Philadelphia","Philadelphia, PA, US","1003","Electric Factory",3000,"1","Courtney Barnett","3909026",NA,NA,NA,NA,NA,NA,2016-05-26,2016
"93","Concert","2016-05-25",0.032463,"Baltimore, MD, US","Baltimore","Baltimore, MD, US","689","Rams Head Live",1600,"1","Courtney Barnett","3909026",NA,NA,NA,NA,NA,NA,2016-05-25,2016
"94","Concert","2016-05-21",0.093735,"Denver, CO, US","Denver","Denver, CO, US","3079779","Rino Neighborhood",NA,"1","Nathaniel Rateliff & The Night Sweats","7514479","2","Courtney Barnett","3909026","3","Violent Femmes","135837",2016-05-21,2016
"95","Concert","2016-04-28",0.031539,"Chicago, IL, US","Chicago","Chicago, IL, US","1284","Riviera Theatre",2500,"1","Courtney Barnett","3909026","2","Bully","158504",NA,NA,NA,2016-04-28,2016
"96","Concert","2016-04-27",0.031513,"Minneapolis, MN, US","Twin Cities","Minneapolis, MN, US","28708","First Avenue",1500,"1","Courtney Barnett","3909026",NA,NA,NA,NA,NA,NA,2016-04-27,2016
"97","Concert","2016-04-26",0.031478,"Minneapolis, MN, US","Twin Cities","Minneapolis, MN, US","28708","First Avenue",1500,"1","Courtney Barnett","3909026",NA,NA,NA,NA,NA,NA,2016-04-26,2016
"98","Concert","2016-04-21",0.031319,"Seattle, WA, US","Seattle","Seattle, WA, US","1109","The Moore Theatre",NA,"1","Courtney Barnett","3909026","2","Alvvays","6938324",NA,NA,NA,2016-04-21,2016
"99","Concert","2016-04-20",0.031269,"Portland, OR, US","Portland","Portland, OR, US","1228","McMenamin's Crystal Ballroom",1000,"1","Courtney Barnett","3909026","2","Alvvays","6938324",NA,NA,NA,2016-04-20,2016
"100","Concert","2016-04-19",0.031219,"Vancouver, BC, Canada","Vancouver","Vancouver, BC, Canada","30021","Commodore Ballroom",990,"1","Courtney Barnett","3909026","2","Alvvays","6938324",NA,NA,NA,2016-04-19,2016
"101","Concert","2016-04-14",0.031062,"Pomona, CA, US","Los Angeles","Pomona, CA, US","1040","The Glass House",800,"1","Courtney Barnett","3909026","2","Alvvays","6938324",NA,NA,NA,2016-04-14,2016
"102","Concert","2016-03-18",0.029977,"Brisbane, QLD, Australia","Brisbane","Brisbane, QLD, Australia","2759063","The Triffid",NA,"1","Courtney Barnett","3909026","2","Jen Cloher","379078","3","Fraser A. Gorman","4458953",2016-03-18,2016
"103","Concert","2016-03-11",0.029663,"Wollongong, NSW, Australia","Wollongong","Wollongong, NSW, Australia","582491","Anita's Theatre",NA,"1","Courtney Barnett","3909026",NA,NA,NA,NA,NA,NA,2016-03-11,2016
