id,name,order,venue,date
858,Sue Foley,1,121,2013-04-25
900,John Roberts,0|2|0|2|1,112|61|112|61|58,2012-09-28|2013-08-10|2013-12-15|2014-01-31|2016-04-15
1036,Mi-ke,2|0,59|108,2013-05-09|2014-04-29
1619,The Midnight Society,1,80,2013-06-25
2018,Penguin,1|2|2|2|1,83|140|305|120|193,2012-09-16|2013-01-03|2014-07-12|2014-09-20|2015-03-07
2575,Wade Bowen,0|1|2|0|2,112|50|20|10|10,2012-08-22|2013-07-25|2014-03-01|2014-03-01|2016-03-05
2586,The Villains,1|2|1|1|0|1|1|1|1|1|1,67|67|48|67|67|80|67|67|67|53|48,2012-09-19|2012-11-28|2012-12-22|2013-01-27|2013-02-09|2013-10-13|2013-11-16|2013-11-18|2014-04-22|2014-08-31|2015-02-24
3891,J.r. Writer,1,93,2013-07-05
4102,Kenny Larkin,2|0|0,93|61|61,2013-11-01|2014-07-25|2014-07-26
4259,Breaking Laces,2,100,2013-04-12
4467,Halogens,2|1,121|121,2013-03-30|2014-08-16
4782,Aaron Goldberg,1|0|0|0|0|0|1|0|0|0|0|0|1|0|1|0|1|0|1|0|0|0|0|0|0,138|111|111|111|111|111|138|138|274|128|128|128|138|138|138|138|138|138|138|160|274|274|128|128|128,2013-03-20|2014-02-18|2014-02-19|2014-02-20|2014-02-21|2014-02-22|2014-06-25|2014-10-29|2014-10-30|2014-11-07|2014-11-08|2014-11-09|2015-01-15|2015-01-16|2015-01-16|2015-01-17|2015-01-17|2015-01-18|2015-01-18|2015-04-04|2015-04-29|2015-04-30|2015-06-01|2015-06-02|2015-06-21
4864,Okkyung Lee,2|1|1,73|50|51,2013-09-29|2016-07-29|2016-07-30
5015,The Lost Patrol,1|1,100|107,2013-02-15|2013-09-12
5436,Phantom,1,59,2013-02-08
5758,Weirding Module,1,73,2013-11-30
7239,Kate Taylor,0|1|0,113|113|110,2013-01-20|2013-01-20|2016-05-02
7374,Dragons,1,89,2013-10-10
