id,name,order,venue,date,tier,index,value,bX,bY,bR
7274689,"""after Blue"" the Joni Mitchell Project",0|0|0|0|0|0|0|0,138|138|138|138|138|138|138|138,2013-10-10|2013-10-11|2013-10-12|2013-10-13|2016-08-04|2016-08-05|2016-08-06|2016-08-07,0,3113,1,,,
6758904,"""the Emperor of Rock"" Richie Scarlet",0|0|0,110|110|110,2013-05-10|2014-01-18|2014-05-31,0,3005,1,,,
2840216,'the Birdland Jazz Party',0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0,111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111|111,2013-01-27|2013-02-03|2013-02-10|2013-02-17|2013-02-24|2013-03-03|2013-03-10|2013-03-17|2013-03-24|2013-03-31|2013-04-07|2013-04-14|2013-04-21|2013-04-28|2013-05-05|2013-05-12|2013-05-19|2013-05-26|2013-06-02|2013-06-09|2013-06-16|2013-06-23|2013-06-30|2013-07-14|2013-07-28|2013-08-04|2013-08-11|2013-08-18|2013-08-25|2013-09-01|2013-09-08|2013-09-15|2013-09-22|2013-09-29|2013-10-13|2013-10-20|2013-10-27|2013-11-03|2013-11-10|2013-11-17|2013-11-24|2013-12-29|2014-01-05|2014-01-19|2014-01-26|2014-02-02|2014-02-09|2014-02-16|2014-02-23|2014-03-02|2014-03-09|2014-03-16|2014-03-23|2014-03-30|2014-04-06|2014-04-13|2014-04-20|2014-05-04|2014-05-11|2014-05-18|2014-05-25|2014-06-01|2014-06-08|2014-06-15|2014-06-22|2014-06-29|2014-10-12|2014-11-02|2014-11-09,0,1832,1,,,
2357721,.357 Lover,0|0|0|0|0|0|0|0|1|1|2|2,91|79|91|101|43|79|47|142|142|72|114|123,2013-01-18|2013-02-20|2013-03-15|2013-04-12|2014-03-06|2014-05-22|2014-09-26|2015-02-27|2015-06-05|2015-08-07|2015-11-20|2016-03-31,1,1625,1,,,
292381,"10,000 Maniacs",0|0|0|0|0|0|0|0|0|0|0,71|71|71|71|71|71|71|71|71|71|43,2012-07-08|2012-07-09|2013-07-05|2013-07-06|2014-06-05|2014-06-06|2015-05-22|2015-05-23|2016-04-20|2016-04-21|2016-08-20,1,539,1,,,
5409313,1in2,0|1|0|0|0|0|0|0,185|110|158|153|157|157|157|157,2013-03-10|2013-10-14|2014-01-08|2015-05-03|2015-08-27|2016-05-06|2016-07-15|2016-08-19,0,2587,1,,,
4492983,2/3 Goat,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0,77|77|107|77|77|77|107|77|77|105|105|77|105|77|77|77|77|77|77|77|77|77|77|77|77|77|105|77|105|77|77,2012-06-09|2012-08-11|2012-10-24|2012-11-09|2013-02-02|2013-05-23|2013-07-31|2013-09-07|2014-01-02|2014-01-21|2014-02-05|2014-03-27|2014-07-25|2014-12-11|2015-01-30|2015-03-05|2015-04-23|2015-07-02|2015-08-13|2015-09-03|2015-11-13|2016-01-02|2016-02-05|2016-03-10|2016-03-12|2016-04-14|2016-04-23|2016-05-06|2016-05-28|2016-06-09|2016-09-02,0,2319,1,,,
247047,40 Below Summer,0|0|0,80|53|80,2013-06-28|2014-08-22|2016-01-29,0,460,1,,,
5642214,5 Seconds of Summer,0|0|0,80|18|0,2013-06-30|2014-04-22|2016-07-15,2,2661,1,0.34774,0.63186,0.07613
5546323,5j Barrow,2|2|1|0|0|0|1|0|0|1|1|0|0|1|2|2|0,100|100|100|100|136|136|110|107|136|136|136|153|136|47|126|79|136,2012-09-05|2012-09-19|2012-10-03|2012-10-26|2013-05-12|2013-07-23|2013-07-29|2013-09-09|2013-10-09|2014-02-07|2014-03-08|2014-07-11|2014-07-12|2015-04-19|2015-07-10|2015-07-20|2016-08-15,0,2632,1,,,
6244979,79.5,2|0|1|1|2|0|1|0|0|0|0|1|0,91|156|89|156|84|124|131|131|131|131|131|50|84,2012-12-19|2013-07-18|2013-11-02|2014-02-13|2015-05-02|2016-01-08|2016-01-22|2016-04-06|2016-04-13|2016-04-20|2016-04-27|2016-07-30|2016-10-14,0,2854,1,,,
581964,?uestlove,0|1|0|0|0|0|0|1|2|1|0|0|1,80|47|47|44|59|46|20|24|41|25|47|70|43,2012-09-18|2012-09-20|2012-11-29|2012-12-18|2013-01-01|2013-10-31|2014-04-25|2014-06-13|2014-10-15|2014-10-24|2014-12-11|2015-08-21|2015-09-28,1,1012,1,,,
6204334,?uestlove (DJ Set),0|2|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|2|1|1|1|1|1|1|1|1|2,47|68|47|47|47|47|47|47|47|47|47|47|47|47|47|47|47|47|18|10|47|47|47|47|47|47|47|47,2012-12-06|2012-12-07|2012-12-13|2012-12-20|2012-12-27|2013-01-03|2013-01-10|2013-01-17|2013-01-24|2013-01-31|2013-02-07|2013-02-14|2013-02-21|2013-02-28|2013-03-07|2013-03-14|2013-03-21|2013-03-28|2013-10-29|2014-07-24|2015-10-15|2015-10-29|2015-11-05|2015-11-12|2015-11-19|2015-12-03|2015-12-10|2016-05-26,0,2839,1,,,
2396413,A Giant Dog,0|1|1|0|0,120|114|120|114|323,2013-05-03|2015-04-07|2015-04-08|2016-05-26|2016-05-27,0,1703,1,,,
1140630,A Great Big Pile of Leaves,0|0|1|0|1|1|2|1|1|0|1|1|0|2,79|79|44|80|72|44|50|193|51|80|33|51|51|48,2012-03-01|2012-07-13|2012-11-29|2013-07-13|2013-08-23|2013-10-21|2014-02-21|2014-04-26|2014-07-26|2014-10-02|2015-04-10|2015-04-13|2015-06-19|2016-06-17,0,1374,1,,,
5951849,A Great Big World,1|2|0|0|0|2|0|0|1|1,81|80|103|80|43|28|8|48|28|45,2012-09-28|2012-11-14|2013-03-18|2013-06-04|2014-01-16|2014-01-31|2014-07-23|2015-11-18|2015-12-14|2016-07-02,2,2752,1,0.57613,0.76372,0.07613
5830444,A Is for Atom,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|0|1,100|126|126|126|126|154|100|126|107|151|103|107|126|127|127|127|127|127|127|127,2012-09-17|2012-11-06|2012-12-12|2013-01-30|2013-03-07|2013-04-25|2013-06-17|2013-10-23|2014-05-07|2014-06-27|2014-09-13|2014-10-08|2015-07-14|2015-07-23|2015-09-03|2015-09-04|2015-09-04|2015-10-23|2015-10-23|2016-02-26,0,2718,1,,,
7115659,a place both wonderful and strange,0|2|0|2|0|1|0|2|0|2|0|0|0|1|1|0,142|114|142|114|79|93|84|67|131|10|131|124|131|114|355|131,2013-08-10|2013-09-07|2014-02-01|2014-03-04|2015-02-05|2015-04-01|2015-04-24|2015-06-02|2015-09-10|2015-10-09|2015-10-31|2015-11-11|2015-12-20|2016-02-05|2016-04-28|2016-05-19,0,3084,1,,,
178407,A Place to Bury Strangers,1|0|0|2|0|0|0|0|1|0|1|0|0,10|51|50|51|193|66|95|51|47|193|28|67|67,2012-03-28|2012-07-27|2012-11-18|2013-06-13|2013-11-29|2014-05-15|2014-10-25|2015-02-17|2015-05-13|2015-05-16|2015-05-18|2015-10-09|2015-10-10,0,345,1,,,
7417474,A Queer Mixer,0|0|0,72|72|72,2013-11-08|2014-05-29|2015-02-26,0,3139,1,,,
87735,A Silent Film,0|1|0|0|0|0|0,50|50|51|50|95|95|89,2012-07-30|2013-02-06|2013-11-20|2015-11-01|2015-11-06|2016-08-03|2016-08-05,0,185,1,,,
404055,A Skylit Drive,0|1|1|0|2|1,45|48|48|80|32|44,2012-03-07|2012-04-06|2012-04-13|2013-10-03|2014-03-05|2015-10-30,0,708,1,,,
413226,A Wilhelm Scream,0|2|1|0,80|44|32|67,2013-11-15|2014-07-12|2015-03-27|2015-12-13,0,725,1,,,
3162976,Aabaraki,0|1|1|1|1|1|0|0|1|1|1|0|2|0|0|1,142|107|47|151|136|91|103|68|156|92|114|47|25|131|131|136,2012-01-09|2012-06-22|2012-07-16|2012-12-31|2013-05-22|2013-07-18|2013-10-17|2013-10-18|2014-01-16|2014-03-20|2014-04-03|2014-07-20|2015-02-14|2015-06-26|2015-10-13|2016-07-31,0,1948,1,,,
5612453,Aaron Burnett,0|0|0|0,163|163|163|163,2013-02-07|2014-03-06|2014-03-07|2015-01-17,0,2650,1,,,
4040346,Aaron Camper,2|0|0|2|0|0|2|2|1|1|0|0,43|112|59|59|59|68|59|59|20|44|153|136,2012-05-01|2012-09-29|2012-10-29|2013-01-17|2013-04-02|2014-02-18|2014-03-19|2014-06-23|2015-10-18|2015-11-03|2016-03-23|2016-07-01,0,2189,1,,,
481012,Aaron Carter,0|0|1|1|0|0|0|0|0,48|48|45|109|74|48|45|74|45,2012-01-19|2013-03-03|2013-03-07|2013-05-06|2013-09-10|2014-11-07|2015-01-10|2015-01-11|2016-02-18,0,838,1,,,
5214333,Aaron Cohen,1|1|1|1|0|1|2|0|0|1|2|0|0,80|91|79|80|79|79|80|127|127|59|68|96|96,2012-11-07|2012-11-16|2013-01-11|2013-01-20|2013-02-15|2013-04-05|2013-07-11|2013-11-06|2013-12-16|2014-05-08|2014-07-09|2015-11-08|2016-01-08,0,2537,1,,,
5557848,Aaron Freeman,0|0|0|0|0,51|74|121|47|47,2013-05-10|2013-11-02|2015-01-15|2015-05-28|2015-05-31,0,2637,1,,,
1894530,Aaron Lee Tasjan,2|2|2|1|0|1|1|0|0|0|0|0|0|0|1|0|0|0|0,107|107|142|101|136|103|121|107|103|103|103|136|153|121|136|121|136|101|136,2012-04-29|2012-04-30|2012-08-02|2012-12-06|2013-01-21|2013-01-21|2013-02-20|2013-03-03|2013-05-07|2013-08-08|2013-08-09|2014-05-01|2014-07-06|2014-07-08|2015-03-09|2015-07-23|2015-07-25|2015-11-19|2016-03-27,0,1468,1,,,
7092964,Abakis,1|0|0|2|2,143|139|148|127|127,2013-08-10|2013-11-10|2013-12-08|2015-01-02|2015-05-22,0,3081,1,,,
2359109,Abby Payne,0|1|0|0|0|0|2|1|2|1|1,126|107|127|153|153|153|126|91|126|245|126,2013-01-29|2013-04-12|2013-10-31|2014-02-20|2014-06-08|2014-10-05|2014-12-05|2015-02-12|2015-03-14|2015-06-27|2015-12-11,0,1631,1,,,
4942148,Abe Ovadia,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0,158|328|158|328|328|328|100|100|328|113|328|328|328|364|328|87|87|113|113|113|328|345,2013-02-10|2013-06-17|2013-07-07|2013-07-17|2013-08-07|2013-09-03|2013-09-13|2013-09-20|2013-10-01|2013-10-08|2013-11-05|2013-12-03|2014-02-18|2014-10-09|2014-10-14|2014-10-15|2015-01-07|2015-01-27|2015-03-24|2015-10-27|2015-11-17|2016-01-10,0,2447,1,,,
4751088,Accidental Seabirds,1|1|0|2|0|1|2,121|121|121|121|79|235|45,2012-06-26|2013-02-12|2013-08-22|2013-09-17|2014-03-24|2015-03-13|2015-12-31,0,2393,1,,,
195904,Acid Mothers Temple,0|0|0|0|0|0|0|0|0,79|79|89|89|79|79|89|89|79,2012-04-30|2013-04-17|2013-04-19|2014-04-23|2014-05-28|2015-05-06|2015-05-07|2016-04-05|2016-04-06,0,378,1,,,
140847,Acoustic Alchemy,0|0|0|0|0|0|0|0,113|113|113|109|113|113|113|113,2012-06-19|2012-06-20|2012-06-21|2013-03-18|2014-10-12|2014-10-13|2014-11-12|2014-11-13,0,269,1,,,
7170474,Activator (NYC),0|1|2|0|0,124|83|67|144|84,2013-10-03|2014-02-28|2014-09-17|2014-09-25|2015-12-30,0,3092,1,,,
2874581,Active Child,0|0|0|0|0,50|50|51|51|50,2012-05-10|2013-11-13|2013-11-14|2015-06-16|2015-06-17,0,1847,1,,,
173218,Adam Beyer,0|0|0|1|0,61|61|61|8|61,2013-06-23|2014-03-15|2014-05-23|2016-02-14|2016-05-28,0,334,1,,,
7026114,Adam Cayton-Holland,0|1|1|2|1|1|1|1,79|101|142|72|91|91|91|72,2013-07-07|2013-07-09|2013-11-08|2013-11-09|2014-06-09|2015-10-12|2015-10-19|2015-11-13,0,3066,1,,,
673375,Adam Deitch,1|2|0|1|0|2|1|1,109|47|109|43|43|47|44|47,2012-06-30|2012-08-27|2013-06-07|2014-08-13|2014-08-13|2015-04-14|2015-05-19|2015-07-28,1,1117,1,,,
525496,Adam Ezra Group,0|1|0|1|2|1|2|1|1|1|0,89|89|53|28|28|28|28|45|45|28|44,2013-01-10|2013-09-21|2014-02-06|2014-03-21|2014-05-23|2014-12-14|2015-06-05|2016-04-15|2016-04-16|2016-07-21|2016-09-01,0,920,1,,,
2971611,Adam Larson Quintet,0|0|0|0|0,158|163|163|163|163,2012-01-13|2013-11-21|2014-05-03|2015-06-05|2016-01-21,0,1891,1,,,
767181,Adam Newman,1|1|2|2|2|1|0|2|2|2|2|0|1|1|1|1|2,91|91|91|91|142|91|142|91|142|142|91|142|142|91|91|91|142,2012-04-09|2012-08-27|2012-10-29|2012-11-04|2012-11-27|2013-02-25|2013-04-20|2013-06-24|2013-09-27|2013-11-24|2014-03-17|2015-01-25|2015-03-09|2015-04-06|2016-03-28|2016-09-05|2016-09-07,0,1159,1,,,
109684,Adam X,0|0|0|0|1|1,54|54|61|58|61|58,2013-07-07|2014-03-20|2014-07-19|2015-08-15|2015-11-14|2016-05-26,0,221,1,,,
5911264,Adios Ghost,0|0|0|0|2|1|2|2,89|127|79|84|91|108|98|127,2013-01-15|2013-09-25|2014-03-18|2014-04-01|2014-04-10|2014-10-22|2016-05-25|2016-10-05,0,2735,1,,,
6512859,Adir L.C.,0|0|1|1|1|0|1|1|0|1|1|1|1|0|0|0,108|127|302|301|127|98|84|327|103|133|94|114|327|103|82|103,2013-02-24|2013-03-28|2015-07-31|2015-10-25|2015-11-04|2015-12-02|2016-03-11|2016-03-12|2016-03-29|2016-04-23|2016-04-27|2016-06-08|2016-06-18|2016-07-09|2016-08-02|2016-09-03,0,2935,1,,,
4415333,Adrenaline Mob,0|1|0,44|18|234,2013-03-13|2014-09-05|2015-05-01,0,2295,1,,,
927362,AdriAnne Lenker,1|0|1|1|1,104|136|136|112|136,2012-05-25|2013-12-01|2014-01-15|2014-07-19|2015-01-13,0,1234,1,,,
7194769,Adrienne Tooley,0|0|2|0|1|2,100|108|117|143|126|107,2013-11-13|2014-02-25|2014-04-22|2014-05-25|2014-10-03|2015-11-05,0,3097,1,,,
5456333,Adult Dude,2|2|2|0|2|2|1|2|2|0|2|2|0|1|0,127|89|145|133|107|114|92|193|142|142|222|67|89|327|124,2013-02-10|2013-06-03|2013-11-09|2013-12-07|2014-01-17|2014-06-14|2014-07-12|2015-01-09|2015-01-23|2015-11-19|2016-02-06|2016-02-24|2016-03-15|2016-04-08|2016-10-04,0,2602,1,,,
